Nr,Amt,Bemerkungen
736,"Rechnungsofficiant",
737,"Pupillarraithandler Adjunkt",
738,"Hoffutterschreiber",
739,"Hoffutteramtsdiener",
740,"Oberbereiter der Camp. Reitschule",
741,,
742,"Witwen- und Waisenvertreter",
743,"Waldhornist",
744,"Hoffederschmucker",
746,"Ungarischer Schneider",
747,"Tafelaufwärter",
749,"Erster Leiblakai",
750,"Leiblakaien Ansager",
751,"Damendiener",
752,"Venerie Direktor",
753,"Oberpiqueur",
754,"Faischjäger",
755,"Hundsjäger",
756,"Erster Galerieadjunkt",
757,"Unterpiqueur",
758,"Tartoffel-Hundsjäger",
759,"Revierjäger",
760,"Oberpiqueur zu Penzing",
761,"Unterpiqueur zu Penzing",
762,"Hundsjäger zu Penzing",
763,"Venerie Bäcker",
764,"Venerie Wagenmeister",
765,"Adel. Arcieren Zweiter Capitaine L.",
766,"Präsident der Jägerei HK",
767,"Rat der Jägerei",
768,"Kabinettsminister",
769,"Adjutant",
770,"Raitrat im Hofbauamt",
771,"Jägerei Akzessist",
773,"Hofmüllner",
774,"Schlosshauptmann in Eckartsau",
775,"Kapelldiener in Hetzendorf",
776,"Edelknaben Fechtmeister Adjunkt",
778,"Kanzleidirektor",
780,"Spalier- und Teppichmacher",
781,"Hofmaler und Statuarius",
782,"Weininspektor",
784,"Zuckerbäcker Schreiber",
785,"Tafeldecker",
786,"Hofkoch",
791,"Hauptmann des MD",
801,"Kabinettskanzlist",
802,"Galeriedirektor",
804,"Direktor der modernen Münzen",
805,"Direktor der antiken Münzen",
806,"Zweiter Galerieadjunkt",
808,"Kabinettstischler",
809,"Waldhorn- und Trompetenmacher",
810,"Inspektor in der Augustinerbastei",
811,"Zimmerputzer in St. Veit",
812,"Hofparteienvertreter",
813,"Protokollist des Hofquartieramts",
814,"Bereiter",
815,"Hofschiffbaumeister",
816,"Klampferer",
818,"Second Lieutnant der LG zu Fuß",
819,"Kabinettskonzipist",
820,"Registrator Adjunkt",
821,"Kanzlei- und Amtstürhüter",
826,"Hofbauinspektor",
827,"Beisitzer der Hofbaukommission",
828,"Referent der Hofbaukommission",
836,"Eisen- und Zeugsverwalter",
838,"Kalkmesser",
839,"Hofbauholzbeschauer",
840,"Steinschreiber",
846,"Geheimer Sekretär",
848,"Naturalienkabinett Custos",
849,"Galerie Custos",
852,"Akzessist im Taxamt",
853,"Kanzleibote",
854,"Feldjäger",
856,"Ingrossist",
857,"Oberhofarchitekt",
858,"Unterhofarchitekt",
861,"Theatraldirectionsrevisor",
862,"Fourier der Schlossgarde",
863,"Forstmeister in Orth",
864,"Feldreißjäger",
865,"Hofbauassistent",
869,"Kammerzahlamtsdiener",
870,"Praktikant im Münzkabinett",
871,"Kabinettsdiener",
872,"Hausmeister in Laxenburg",
874,"Kanzlei- und Amtstürhüter Adjunkt",
875,"Hofapothekenprovisor in Schönbrunn",
879,"Erster Hauptmann der Schlossgarde",
882,"Kammerchirurg",
884,"Interimskontrollor im Taxamt",
885,"Pferdezähmer",
886,"Spezereienhändler",
887,"Wachshändler",
888,"HoföbstlerIn",
889,"Hoföhler",
890,"Wildprethändlerin",
891,"Adel. Arcieren Fourier",
907,"Jägerei Amtsschreiber",
908,"Jägerei Praktikant",
920,"Leibokulist",
922,"Protochirurg",
923,"Familiengüterraitoffizier",
925,"Hofuhrmacher",
926,"Kaplan in Schönbrunn",
927,"Gesandtschafts Zeremonienansager",
928,"Amtsdiener",
931,"Kammerlakai",
933,"Wirtschaftssekretär",
936,"Leibschiffmeister Gehilfe",
938,"Familiengüterkassier",
939,"Familiengüterbuchhalter",
940,"Hofküchenkasse Schreiber",
942,"Jägerei Oberamtskontrollor",
943,"Unterwaldmeister",
944,"Grundbuchshandler",
945,"Jägerei Registrator",
946,"Jägerei Kassier",
947,"Jägerei Rechnungskonfizient",
954,"Kammertischler",
955,"Kapellmeister Substitut",
956,"Klarinettist",
957,"Registraturdirektor",
958,"Kammerjungfrau",
959,"Jägerei Amtskanzlist",
960,"Familiengüterdirektor",
961,"Inspektor der Theatergebäude und des Redoutensaals",
964,"Mobilien Inspektoratsschreiber",
966,"Laterninspektor",
967,"Musikgraf",
968,"Wäschemeisterin",
969,"Wäschemeisterin Gehilfin",
971,"Trabanten Capitaine Lieutnant",
972,"Trabanten Oberlieutnant",
975,"Trabanten Kaplan",
976,"Trabanten Auditor",
977,"Trabanten Rechnungsführer",
978,"Trabanten Chirurg",
980,"Sekretär im Kabinett",
981,"Officiale im Kabinett",
982,"Kabinettsbote",
983,"Kabinettskanzleidiener",
985,"Audienztürhüter",
986,"Kammersilberarbeiter",
987,"Kammeruhrmacher",
988,"Wappen- und Petschierstecher",
991,"Hufschmied",
992,"Equipageninspektor",
993,"Hausknecht",
994,"Zimmerputzer",
995,"Jägerei Hauptrechnungsführer",
996,"Jägerei Hauptrechnungsführer Kontrollor",
997,"Jägerei Protokollist",
999,"Amtsdiener der Hofbaukasse",
1000,"Expeditor für die Familiengüter",
1001,"Registrator für die Familiengüter",
1005,"familiengüterkassenoffizier",
1006,"familiengüterbuchhalter vize",
1007,"Leibbereiter",
1009,"Büchsenspanner Gehilfe",
1010,"Kaplan in Laxenburg",
1011,"Hofsamenhändler",
1012,"Nagelschmiedmeister",
1013,"Hofküchenkasse Gegenhändler",
1014,"Zuckerbäckereimaler",
1015,"Adel. Arcieren Kassenverwalter",
1019,"Amtsschreiber im Grundbuchsamt",
1020,"Praktikant im Grundbuchsamt",
1021,"Waldübergeher im Grundbuchsamt",
1022,"Kanzleidiener im Grundbuchsamt",
1024,"Hofrauchfangkehrer",
1026,"Portier im Augarten",
1027,"Portier im Belvedere",
1029,"Familiengüterraitrat",
1030,"Inspektor im Holzverschleißamt",
1031,"Kontrollor im Holzverschleißamt",
1032,"Kammerwachsarbeiter",
